"","glm","cbps-just","cbps-over","ind","exp","proj"
"lqte-z(0.10)",2554,2624,2642,2751,2624,2449
"lqte-z(0.10).se",506.193566873559,486.071937615824,485.532634071139,510.617046356152,495.032800788955,527.854874713887
"lqte-z(0.25)",1618,1536,1753,1615,1589,1529
"lqte-z(0.25).se",266.443485179314,265.030149329445,283.869600608438,296.055979842574,260.473229741487,266.196582635101
"lqte-z(0.5)",7285,7041,7849,7629,7341,7197
"lqte-z(0.5).se",533.146750007116,514.841303417861,652.500021728569,653.702884082971,517.598888302237,523.571551839042
"lqte-z(0.75)",19939,19589,21772,21800,20325,19410
"lqte-z(0.75).se",1033.87128124116,1015.06213851489,1319.37331105052,1864.4582804633,1064.96628382679,1135.72044393139
"lqte-z(0.90)",28501,28450,31798,32478,31200,27919
"lqte-z(0.90).se",728.469537386567,715.025693588708,869.476316744633,1640.754436141,748.911944388783,838.779926328624
