"","glm","cbps-just","cbps-over","ind","exp","proj"
"qte-z(0.10)",1113,1200,1160,1110,1150,1050
"qte-z(0.10).se",264.498897580566,253.521157578278,259.081678603677,265.720808167717,258.099961478261,282.639824237474
"qte-z(0.25)",996,996,1000,1000,1000,996
"qte-z(0.25).se",228.870803373264,228.458441387958,236.715292057223,273.09062196274,224.658989410852,230.592937778785
"qte-z(0.5)",4447,4200,4559,4447,4350,4300
"qte-z(0.5).se",278.376923673238,259.166566489729,331.169841023526,368.024949576328,275.854394962367,308.73305162882
"qte-z(0.75)",13065,12995,13980,13410,13339,12859
"qte-z(0.75).se",930.803856295724,922.164549070208,1166.40681321515,1511.10844152173,963.523829596585,1024.82220916266
"qte-z(0.90)",21249,21053,23441,22307,21890,20899
"qte-z(0.90).se",2223.2983465906,2247.13091762384,2934.22755515436,5018.48015453451,2398.91772205877,2781.7679418213
"qtt-z(0.10)",1800,1800,1800,1765,1800,1771
"qtt-z(0.10).se",281.263842014505,281.717417687558,284.718965527721,311.736592065292,282.850723148255,284.152414096655
"qtt-z(0.25)",1200,1212,1234,1230,1250,1200
"qtt-z(0.25).se",229.838125462995,230.128389845691,244.597935375554,294.662396783155,231.1177012757,244.608285886845
"qtt-z(0.5)",6775,6800,7015,6901,6914,6751
"qtt-z(0.5).se",407.750019736069,409.346319786753,466.232419382356,523.214270096277,412.126163256829,423.919266531108
"qtt-z(0.75)",17920,18050,18600,18451,18450,18051
"qtt-z(0.75).se",1313.65752964655,1309.65848422541,1582.34904848282,2639.54063650771,1342.1114368653,1543.31475190619
"qtt-z(0.90)",23698,23450,25050,24050,25950,23554
"qtt-z(0.90).se",3032.50965434724,3135.79689528381,3383.03605490137,8994.91766786284,3072.95522464395,3793.23104037558
