"","glm","cbps-just","cbps-over","ind","exp","proj"
"qte-z(0.10)",399,400,400,399,400,375
"qte-z(0.10).se",578.092170091052,558.336332934047,600.906997335122,653.05698805667,556.965644912843,576.696848349796
"qte-z(0.25)",3024,2917,3425,3079,2993,2950
"qte-z(0.25).se",610.779241295372,590.63920788488,788.55324617253,871.653465748789,592.976438653427,617.101577823919
"qte-z(0.5)",7402,7419,9027,7888,7615,7419
"qte-z(0.5).se",1162.09816152727,1110.50528249907,1580.3947221484,2044.17391660679,1142.64720480772,1157.4364395544
"qte-z(0.75)",9131,8871,13050,10125,10419,8665
"qte-z(0.75).se",2833.10403286956,2786.32804995196,3741.82304098903,5563.10910030276,2972.09124188407,3157.60875601703
"qte-z(0.90)",15857,15979,18500,16108,17547,15504
"qte-z(0.90).se",5806.38194861861,5828.9602095456,6662.08949868166,12709.7367639503,6167.2794976823,7818.03433430156
"qtt-z(0.10)",1380,1380,1400,1351,1380,1360
"qtt-z(0.10).se",561.448072957222,571.513907846671,627.788404417665,817.541625448922,570.37831798766,578.178415391852
"qtt-z(0.25)",5250,5259,5650,5259,5300,5190
"qtt-z(0.25).se",648.580200730569,665.440621843624,858.729275557931,1216.14443691842,674.496520625725,706.301969384134
"qtt-z(0.5)",7036,7336,8175,6879,7665,7131
"qtt-z(0.5).se",1589.54807537246,1606.33742078374,1992.84227938579,3152.83319205415,1633.37026988737,1756.917254644
"qtt-z(0.75)",10279,11231,13829,8729,13579,10279
"qtt-z(0.75).se",3658.88212768666,3668.42558203043,4420.27504846926,8608.95565050822,3758.37151178083,4585.60087239461
"qtt-z(0.90)",10674,10475,13274,3474,13274,10425
"qtt-z(0.90).se",8918.88713474263,8745.46741187282,9959.87312956726,28494.2423478024,9096.02253810688,11679.2690286277
