wgt	ira	a401	hval	hmort	hequity	nifa	net_nifa	tfa	net_tfa	tfa_he	tw	age	inc	fsize	educ	db	marr	male	twoearn	dum91	e401	i1	i2	i3	i4	i5	i6	i7	p401	pira	hown	a1	a2	a3	a4	a5	nohs	hs	smcol	col	a	icat	ecat	f1	f2	f3	f4	f5	f6	f	zhat	wntfa1	wntfa2	wntfa3	wntfa4	wntfa5	wntfa6	wntfa7	wnet_nifa1	wnet_nifa2	wnet_nifa3	wnet_nifa4	wnet_nifa5	wnet_nifa6	wnet_nifa7	wtw1	wtw2	wtw3	wtw4	wtw5	wtw6	wtw7	net_n401	wnet_n4014
3859.518	0	0	69000	60150	8850	100	-3300	100	-3300	5550	53550	31	28146	5	12	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	3	2	0	0	0	0	1	0	5	.273178	.1236726	.1233128	.1232418	.1232187	.1288746	.1288704	.1264045	.1241775	.1241179	.1241451	.1241556	.1323562	.1324459	.1236753	.1104658	.1078479	.1049878	.1033852	.1089566	.1102377	.0909326	-3300	.1231177
1920.464	0	0	78000	20000	58000	61010	61010	61010	61010	119010	124635	52	32634	5	16	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	4	4	4	0	0	0	0	1	0	5	.3866406	.0988864	.0977963	.1001744	.0960099	.0932386	.0901152	.109643	.1059329	.1044732	.1035672	.1005312	.0838166	.0784656	.1006635	.1129369	.1468823	.1452007	.1286186	.110887	.1090401	.105882	61010	.0927706
4640.621	1800	0	200000	15900	184100	7549	7049	9349	8849	192949	192949	50	52206	3	11	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	4	6	1	0	0	1	0	0	0	3	.5336504	.1469396	.1476058	.1612941	.1593556	.1584549	.1565202	.1437502	.1448121	.1452527	.1536871	.1528957	.1516223	.1496858	.1435525	.1503338	.1548365	.1550915	.1334655	.1352569	.1423636	.1391829	8849	.1587173
4271.333	0	0	0	0	0	2487	-6013	2487	-6013	-6013	-513	28	45252	4	15	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	5	3	0	0	0	1	0	0	4	.3243191	.1185151	.1190951	.1191758	.1206623	.1208055	.1212925	.129741	.1188406	.1205867	.1209521	.1283652	.1284728	.1285601	.1303318	.1178416	.1172537	.1188426	.1189561	.1198488	.1280878	.1275225	-6013	.1216264
2512.432	0	0	300000	90000	210000	10625	-2375	10625	-2375	207625	212087	42	33126	3	12	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3	4	2	0	0	1	0	0	0	3	.6028074	.3661537	.3673965	.3600456	.3501831	.3534069	.3494715	.3950032	.3691657	.3701365	.3622315	.3554825	.3535919	.3448767	.368018	.2911781	.26662	.3146549	.3067686	.4124527	.4114355	.3746115	-2375	.3501831
3942.026	0	0	120000	99600	20400	9000	-11000	9000	-11000	9400	24400	49	76860	6	15	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	4	7	3	0	0	0	0	1	0	5	.6849159	.3683434	.3820575	.3261443	.3190276	.1639044	.2164268	.0492081	.3724846	.3850809	.2972453	.3055179	.232909	.2391584	.0897676	.3254923	.3780146	.3219583	.3102898	.2925374	.2830446	.2844695	-11000	.322379
3823.4	0	0	89000	63000	26000	1099	-16901	1099	-16901	9099	33299	40	57477	4	17	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	6	4	0	0	0	1	0	0	4	.6688337	.3630509	.4135591	.4035533	.5005671	.5014374	.4150899	.4677143	.3617935	.4253329	.4321939	.4988233	.499992	.4223855	.415206	.3655474	.3678678	.3658994	.3526702	.3331715	.3275511	.3208155	-16901	.4960059
6660.485	0	0	0	0	0	1700	1000	1700	1000	1000	2500	58	14637	1	14	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	2	3	1	0	0	0	0	0	1	.1152104	.039017	.0394921	.0394836	.0358984	.0354422	.0335638	.0332765	.0389299	.0395346	.0395831	.0333976	.0337387	.0347961	.0349474	.0386571	.0385193	.0384725	.03888	.0389584	.0379574	.0378786	1000	.0358962
2676.19	0	0	0	0	0	0	0	0	0	0	0	29	6573	4	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1	0	0	4	.0278493	.0055495	.0051365	.0048749	.003777	.0038106	.0038134	.0038098	.0055789	.0057412	.0055859	.0047262	.004765	.0047293	.0047608	.0049562	.003543	.0036207	.0037994	.0038236	.0036908	.0038975	0	.0037638
4405.394	5700	0	0	0	0	800	700	6500	6400	6400	7150	50	5766	1	14	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	4	1	3	1	0	0	0	0	0	1	.1173758	.0143149	.026412	.0260068	.0000969	.0000948	.0000944	.0001487	.0145546	.0128964	.0125324	.0189947	.0201652	.0190819	.0206506	.0230002	.0338086	.0305818	.0417375	.0415341	.0423305	.0406306	6400	.0000973
5711.416	8000	0	83000	68000	15000	16900	16900	24900	24900	39900	52625	45	43239	1	12	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	4	5	2	1	0	0	0	0	0	1	.650903	.3022779	.2967679	.2658496	.2670874	.2487608	.2511058	.1819811	.30198	.3014876	.2760741	.2781545	.2813751	.2804383	.2236003	.2984802	.2960896	.2445766	.2423082	.2350128	.2091657	.2078833	24900	.2714064
4977.749	0	0	0	0	0	100	-675	100	-675	-675	-675	25	40323	3	12	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	5	2	0	0	1	0	0	0	3	.3243191	.1170647	.1220874	.1221905	.1226022	.1225513	.1217746	.1164045	.1170077	.1194753	.1198546	.1229913	.122864	.1138501	.1145337	.117837	.1172388	.1188836	.118984	.119888	.1281724	.1276069	-675	.1228833
4225.356	0	0	0	0	0	0	-400	0	-400	-400	8100	30	30000	2	14	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	4	3	0	1	0	0	0	0	2	.2951996	.151312	.1512696	.1503128	.1507456	.1508749	.1508894	.1443334	.1514584	.1514136	.150408	.1506674	.1514926	.151404	.1506576	.1495149	.1521378	.1528706	.1581516	.1448647	.144426	.1437931	-400	.1509643
3039.664	0	0	0	0	0	217	-83	217	-83	-83	2250	27	9612	1	17	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	4	1	0	0	0	0	0	1	.0278493	.0055328	.0049868	.0047389	.0040819	.0041056	.0041076	.0040928	.005555	.005579	.0054389	.0047489	.0047753	.004751	.0047725	.0048378	.005041	.0045506	.0054017	.005468	.0051425	.0056494	-83	.0040676
4042.789	34000	0	12000	235	11765	1400	1400	35400	35400	47165	59519	42	85086	4	12	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	3	7	2	0	0	0	1	0	0	4	.5801663	.122941	.1284641	.1375154	.1344142	.1513288	.1523625	.1368494	.1215195	.1287396	.1312993	.1267916	.1512241	.1520239	.1788018	.125965	.1452078	.1335396	.1324717	.1233992	.1533257	.1571762	35400	.1327583
4412.563	0	0	0	0	0	1400	-100	1400	-100	-100	18900	35	32208	2	13	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	4	3	0	1	0	0	0	0	2	.2951996	.1510849	.1510273	.1499328	.1503424	.1505308	.1506073	.143623	.1512782	.1512174	.1500555	.1502959	.151335	.1513141	.1502866	.1455795	.1601608	.1625679	.1755632	.1607708	.1613654	.1630064	-100	.1505953
4806.498	2300	0	0	0	0	60000	60000	62300	62300	62300	64800	35	63525	1	18	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	2	6	4	1	0	0	0	0	0	1	.3107966	.0657119	.064463	.060456	.0625854	.0623134	.063607	.0928826	.0679107	.066115	.0605644	.0634694	.0633452	.0663632	.1083446	.0654358	.067846	.0685285	.0741739	.0743302	.0704342	.0718841	62300	.0623788
3182.055	0	0	0	0	0	612	-3888	612	-3888	-3888	15112	41	31896	5	12	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	4	2	0	0	0	0	1	0	5	.2951996	.1539689	.154112	.1549423	.1555588	.1549821	.1542905	.1543771	.1535638	.1537118	.1546837	.1551083	.1533342	.1525237	.1550942	.1469518	.1574593	.1593204	.1699579	.1543108	.1544738	.1552012	-3888	.1553316
4528.886	0	0	0	0	0	20	20	20	20	20	1445	53	9744	1	12	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	1	2	1	0	0	0	0	0	1	.0486785	.0149147	.0176589	.0175444	.0180201	.0180687	.0180728	.0179715	.0150846	.0167435	.0164714	.0162521	.0163347	.0162584	.0163658	.0153923	.0173205	.0166663	.0208267	.0209633	.0201677	.0212898	20	.0180078
2832.642	0	0	120000	0	120000	3098	3098	3098	3098	123098	123098	62	74589	3	16	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	5	6	4	0	0	1	0	0	0	3	.6688337	.3679367	.3713929	.3720065	.3311933	.3319212	.3413135	.3280782	.3680527	.3704442	.3696819	.3344169	.3347974	.3476469	.3493013	.372205	.3678874	.3870587	.3845134	.4146184	.4232813	.4218536	3098	.3325313
4700.495	0	0	0	0	0	298	205	298	205	205	43258	45	38148	1	11	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	4	1	1	0	0	0	0	0	1	.3086649	.1290618	.129049	.1283237	.1285432	.1287256	.1287906	.1222588	.1297577	.1297837	.1293721	.1295839	.130573	.1305368	.1295756	.1171916	.1492501	.1532386	.1687792	.1802317	.1830371	.1887616	205	.128835
